pclass,survived,name,sex,,,,,,,,,,,,,,,,,,,
1,1,"Hippach, Miss. Jean Gertrude",female,,,,,,,,,,,,,,,,,,,
1,1,"Hippach, Mrs. Louis Albert (Ida Sophia Fischer)",female,,,,,,,,,,,,,,,,,,,
1,1,"Hogeboom, Mrs. John C (Anna Andrews)",female,,,,,,,,,,,,,,,,,,,
1,0,"Holverson, Mr. Alexander Oskar",male,,,,,,,,,,,,,,,,,,,
1,1,"Holverson, Mrs. Alexander Oskar (Mary Aline Towner)",female,,,,,,,,,,,,,,,,,,,
1,1,"Homer, Mr. Harry (""Mr E Haven"")",male,,,,,,,,,,,,,,,,,,,
1,1,"Hoyt, Mr. Frederick Maxfield",male,,,,,,,,,,,,,,,,,,,
1,0,"Hoyt, Mr. William Fisher",male,,,,,,,,,,,,,,,,,,,
1,1,"Hoyt, Mrs. Frederick Maxfield (Jane Anne Forby)",female,,,,,,,,,,,,,,,,,,,
1,1,"Icard, Miss. Amelie",female,,,,,,,,,,,,,,,,,,,
1,0,"Isham, Miss. Ann Elizabeth",female,,,,,,,,,,,,,,,,,,,
1,1,"Ismay, Mr. Joseph Bruce",male,,,,,,,,,,,,,,,,,,,
1,0,"Jones, Mr. Charles Cresson",male,,,,,,,,,,,,,,,,,,,
1,0,"Julian, Mr. Henry Forbes",male,,,,,,,,,,,,,,,,,,,
1,0,"Keeping, Mr. Edwin",male,,,,,,,,,,,,,,,,,,,
1,0,"Kent, Mr. Edward Austin",male,,,,,,,,,,,,,,,,,,,
1,0,"Kenyon, Mr. Frederick R",male,,,,,,,,,,,,,,,,,,,
1,1,"Kenyon, Mrs. Frederick R (Marion)",female,,,,,,,,,,,,,,,,,,,
1,1,"Kimball, Mr. Edwin Nelson Jr",male,,,,,,,,,,,,,,,,,,,
1,1,"Kimball, Mrs. Edwin Nelson Jr (Gertrude Parsons)",female,,,,,,,,,,,,,,,,,,,
1,0,"Klaber, Mr. Herman",male,,,,,,,,,,,,,,,,,,,
1,1,"Kreuchen, Miss. Emilie",female,,,,,,,,,,,,,,,,,,,
1,1,"Leader, Dr. Alice (Farnham)",female,,,,,,,,,,,,,,,,,,,
1,1,"LeRoy, Miss. Bertha",female,,,,,,,,,,,,,,,,,,,
1,1,"Lesurer, Mr. Gustave J",male,,,,,,,,,,,,,,,,,,,
1,0,"Lewy, Mr. Ervin G",male,,,,,,,,,,,,,,,,,,,
1,0,"Lindeberg-Lind, Mr. Erik Gustaf (""Mr Edward Lingrey"")",male,,,,,,,,,,,,,,,,,,,
1,1,"Lindstrom, Mrs. Carl Johan (Sigrid Posse)",female,,,,,,,,,,,,,,,,,,,
1,1,"Lines, Miss. Mary Conover",female,,,,,,,,,,,,,,,,,,,
1,1,"Lines, Mrs. Ernest H (Elizabeth Lindsey James)",female,,,,,,,,,,,,,,,,,,,
1,0,"Long, Mr. Milton Clyde",male,,,,,,,,,,,,,,,,,,,
1,1,"Longley, Miss. Gretchen Fiske",female,,,,,,,,,,,,,,,,,,,
1,0,"Loring, Mr. Joseph Holland",male,,,,,,,,,,,,,,,,,,,
1,1,"Lurette, Miss. Elise",female,,,,,,,,,,,,,,,,,,,
1,1,"Madill, Miss. Georgette Alexandra",female,,,,,,,,,,,,,,,,,,,
1,0,"Maguire, Mr. John Edward",male,,,,,,,,,,,,,,,,,,,
1,1,"Maioni, Miss. Roberta",female,,,,,,,,,,,,,,,,,,,
1,1,"Marechal, Mr. Pierre",male,,,,,,,,,,,,,,,,,,,
1,0,"Marvin, Mr. Daniel Warner",male,,,,,,,,,,,,,,,,,,,
1,1,"Marvin, Mrs. Daniel Warner (Mary Graham Carmichael Farquarson)",female,,,,,,,,,,,,,,,,,,,
1,1,"Mayne, Mlle. Berthe Antonine (""Mrs de Villiers"")",female,,,,,,,,,,,,,,,,,,,
1,0,"McCaffry, Mr. Thomas Francis",male,,,,,,,,,,,,,,,,,,,
1,0,"McCarthy, Mr. Timothy J",male,,,,,,,,,,,,,,,,,,,
1,1,"McGough, Mr. James Robert",male,,,,,,,,,,,,,,,,,,,
1,0,"Meyer, Mr. Edgar Joseph",male,,,,,,,,,,,,,,,,,,,
1,1,"Meyer, Mrs. Edgar Joseph (Leila Saks)",female,,,,,,,,,,,,,,,,,,,
1,0,"Millet, Mr. Francis Davis",male,,,,,,,,,,,,,,,,,,,
1,0,"Minahan, Dr. William Edward",male,,,,,,,,,,,,,,,,,,,
1,1,"Minahan, Miss. Daisy E",female,,,,,,,,,,,,,,,,,,,
1,1,"Minahan, Mrs. William Edward (Lillian E Thorpe)",female,,,,,,,,,,,,,,,,,,,
1,1,"Mock, Mr. Philipp Edmund",male,,,,,,,,,,,,,,,,,,,
1,0,"Molson, Mr. Harry Markland",male,,,,,,,,,,,,,,,,,,,
1,0,"Moore, Mr. Clarence Bloomfield",male,,,,,,,,,,,,,,,,,,,
1,0,"Natsch, Mr. Charles H",male,,,,,,,,,,,,,,,,,,,
1,1,"Newell, Miss. Madeleine",female,,,,,,,,,,,,,,,,,,,
1,1,"Newell, Miss. Marjorie",female,,,,,,,,,,,,,,,,,,,
1,0,"Newell, Mr. Arthur Webster",male,,,,,,,,,,,,,,,,,,,
1,1,"Newsom, Miss. Helen Monypeny",female,,,,,,,,,,,,,,,,,,,
1,0,"Nicholson, Mr. Arthur Ernest",male,,,,,,,,,,,,,,,,,,,
1,1,"Oliva y Ocana, Dona. Fermina",female,,,,,,,,,,,,,,,,,,,
1,1,"Omont, Mr. Alfred Fernand",male,,,,,,,,,,,,,,,,,,,
1,1,"Ostby, Miss. Helene Ragnhild",female,,,,,,,,,,,,,,,,,,,
1,0,"Ostby, Mr. Engelhart Cornelius",male,,,,,,,,,,,,,,,,,,,
1,0,"Ovies y Rodriguez, Mr. Servando",male,,,,,,,,,,,,,,,,,,,
1,0,"Parr, Mr. William Henry Marsh",male,,,,,,,,,,,,,,,,,,,
1,0,"Partner, Mr. Austen",male,,,,,,,,,,,,,,,,,,,
1,0,"Payne, Mr. Vivian Ponsonby",male,,,,,,,,,,,,,,,,,,,
1,0,"Pears, Mr. Thomas Clinton",male,,,,,,,,,,,,,,,,,,,
1,1,"Pears, Mrs. Thomas (Edith Wearne)",female,,,,,,,,,,,,,,,,,,,
1,0,"Penasco y Castellana, Mr. Victor de Satode",male,,,,,,,,,,,,,,,,,,,
1,1,"Penasco y Castellana, Mrs. Victor de Satode (Maria Josefa Perez de Soto y Vallejo)",female,,,,,,,,,,,,,,,,,,,
1,1,"Perreault, Miss. Anne",female,,,,,,,,,,,,,,,,,,,
1,1,"Peuchen, Major. Arthur Godfrey",male,,,,,,,,,,,,,,,,,,,
1,0,"Porter, Mr. Walter Chamberlain",male,,,,,,,,,,,,,,,,,,,
1,1,"Potter, Mrs. Thomas Jr (Lily Alexenia Wilson)",female,,,,,,,,,,,,,,,,,,,
1,0,"Reuchlin, Jonkheer. John George",male,,,,,,,,,,,,,,,,,,,
1,1,"Rheims, Mr. George Alexander Lucien",male,,,,,,,,,,,,,,,,,,,
1,0,"Ringhini, Mr. Sante",male,,,,,,,,,,,,,,,,,,,
1,0,"Robbins, Mr. Victor",male,,,,,,,,,,,,,,,,,,,
1,1,"Robert, Mrs. Edward Scott (Elisabeth Walton McMillan)",female,,,,,,,,,,,,,,,,,,,
1,0,"Roebling, Mr. Washington Augustus II",male,,,,,,,,,,,,,,,,,,,
1,1,"Romaine, Mr. Charles Hallace (""Mr C Rolmane"")",male,,,,,,,,,,,,,,,,,,,
1,0,"Rood, Mr. Hugh Roscoe",male,,,,,,,,,,,,,,,,,,,
1,1,"Rosenbaum, Miss. Edith Louise",female,,,,,,,,,,,,,,,,,,,
1,0,"Rosenshine, Mr. George (""Mr George Thorne"")",male,,,,,,,,,,,,,,,,,,,
1,0,"Ross, Mr. John Hugo",male,,,,,,,,,,,,,,,,,,,
1,1,"Rothes, the Countess. of (Lucy Noel Martha Dyer-Edwards)",female,,,,,,,,,,,,,,,,,,,
1,0,"Rothschild, Mr. Martin",male,,,,,,,,,,,,,,,,,,,
1,1,"Rothschild, Mrs. Martin (Elizabeth L. Barrett)",female,,,,,,,,,,,,,,,,,,,
1,0,"Rowe, Mr. Alfred G",male,,,,,,,,,,,,,,,,,,,
1,1,"Ryerson, Master. John Borie",male,,,,,,,,,,,,,,,,,,,
1,1,"Ryerson, Miss. Emily Borie",female,,,,,,,,,,,,,,,,,,,
1,1,"Ryerson, Miss. Susan Parker ""Suzette""",female,,,,,,,,,,,,,,,,,,,
1,0,"Ryerson, Mr. Arthur Larned",male,,,,,,,,,,,,,,,,,,,
1,1,"Ryerson, Mrs. Arthur Larned (Emily Maria Borie)",female,,,,,,,,,,,,,,,,,,,
1,1,"Saalfeld, Mr. Adolphe",male,,,,,,,,,,,,,,,,,,,
1,1,"Sagesser, Mlle. Emma",female,,,,,,,,,,,,,,,,,,,
1,1,"Salomon, Mr. Abraham L",male,,,,,,,,,,,,,,,,,,,
1,1,"Schabert, Mrs. Paul (Emma Mock)",female,,,,,,,,,,,,,,,,,,,
1,1,"Serepeca, Miss. Augusta",female,,,,,,,,,,,,,,,,,,,
1,1,"Seward, Mr. Frederic Kimber",male,,,,,,,,,,,,,,,,,,,
1,1,"Shutes, Miss. Elizabeth W",female,,,,,,,,,,,,,,,,,,,
1,1,"Silverthorne, Mr. Spencer Victor",male,,,,,,,,,,,,,,,,,,,
1,0,"Silvey, Mr. William Baird",male,,,,,,,,,,,,,,,,,,,
1,1,"Silvey, Mrs. William Baird (Alice Munger)",female,,,,,,,,,,,,,,,,,,,
1,1,"Simonius-Blumer, Col. Oberst Alfons",male,,,,,,,,,,,,,,,,,,,
1,1,"Sloper, Mr. William Thompson",male,,,,,,,,,,,,,,,,,,,
1,0,"Smart, Mr. John Montgomery",male,,,,,,,,,,,,,,,,,,,
1,0,"Smith, Mr. James Clinch",male,,,,,,,,,,,,,,,,,,,
1,0,"Smith, Mr. Lucien Philip",male,,,,,,,,,,,,,,,,,,,
1,0,"Smith, Mr. Richard William",male,,,,,,,,,,,,,,,,,,,
1,1,"Smith, Mrs. Lucien Philip (Mary Eloise Hughes)",female,,,,,,,,,,,,,,,,,,,
1,1,"Snyder, Mr. John Pillsbury",male,,,,,,,,,,,,,,,,,,,
1,1,"Snyder, Mrs. John Pillsbury (Nelle Stevenson)",female,,,,,,,,,,,,,,,,,,,
1,1,"Spedden, Master. Robert Douglas",male,,,,,,,,,,,,,,,,,,,
1,1,"Spedden, Mr. Frederic Oakley",male,,,,,,,,,,,,,,,,,,,
1,1,"Spedden, Mrs. Frederic Oakley (Margaretta Corning Stone)",female,,,,,,,,,,,,,,,,,,,
1,0,"Spencer, Mr. William Augustus",male,,,,,,,,,,,,,,,,,,,
1,1,"Spencer, Mrs. William Augustus (Marie Eugenie)",female,,,,,,,,,,,,,,,,,,,
1,1,"Stahelin-Maeglin, Dr. Max",male,,,,,,,,,,,,,,,,,,,
1,0,"Stead, Mr. William Thomas",male,,,,,,,,,,,,,,,,,,,
1,1,"Stengel, Mr. Charles Emil Henry",male,,,,,,,,,,,,,,,,,,,
1,1,"Stengel, Mrs. Charles Emil Henry (Annie May Morris)",female,,,,,,,,,,,,,,,,,,,
1,1,"Stephenson, Mrs. Walter Bertram (Martha Eustis)",female,,,,,,,,,,,,,,,,,,,
1,0,"Stewart, Mr. Albert A",male,,,,,,,,,,,,,,,,,,,
1,1,"Stone, Mrs. George Nelson (Martha Evelyn)",female,,,,,,,,,,,,,,,,,,,
1,0,"Straus, Mr. Isidor",male,,,,,,,,,,,,,,,,,,,
1,0,"Straus, Mrs. Isidor (Rosalie Ida Blun)",female,,,,,,,,,,,,,,,,,,,
1,0,"Sutton, Mr. Frederick",male,,,,,,,,,,,,,,,,,,,
1,1,"Swift, Mrs. Frederick Joel (Margaret Welles Barron)",female,,,,,,,,,,,,,,,,,,,
1,1,"Taussig, Miss. Ruth",female,,,,,,,,,,,,,,,,,,,
1,0,"Taussig, Mr. Emil",male,,,,,,,,,,,,,,,,,,,
1,1,"Taussig, Mrs. Emil (Tillie Mandelbaum)",female,,,,,,,,,,,,,,,,,,,
1,1,"Taylor, Mr. Elmer Zebley",male,,,,,,,,,,,,,,,,,,,
1,1,"Taylor, Mrs. Elmer Zebley (Juliet Cummins Wright)",female,,,,,,,,,,,,,,,,,,,
1,0,"Thayer, Mr. John Borland",male,,,,,,,,,,,,,,,,,,,
1,1,"Thayer, Mr. John Borland Jr",male,,,,,,,,,,,,,,,,,,,
1,1,"Thayer, Mrs. John Borland (Marian Longstreth Morris)",female,,,,,,,,,,,,,,,,,,,
1,1,"Thorne, Mrs. Gertrude Maybelle",female,,,,,,,,,,,,,,,,,,,
1,1,"Tucker, Mr. Gilbert Milligan Jr",male,,,,,,,,,,,,,,,,,,,
1,0,"Uruchurtu, Don. Manuel E",male,,,,,,,,,,,,,,,,,,,
1,0,"Van der hoef, Mr. Wyckoff",male,,,,,,,,,,,,,,,,,,,
1,0,"Walker, Mr. William Anderson",male,,,,,,,,,,,,,,,,,,,
1,1,"Ward, Miss. Anna",female,,,,,,,,,,,,,,,,,,,
1,0,"Warren, Mr. Frank Manley",male,,,,,,,,,,,,,,,,,,,
1,1,"Warren, Mrs. Frank Manley (Anna Sophia Atkinson)",female,,,,,,,,,,,,,,,,,,,
